1924,Master Robert,25/1 
1925,Double Chance,100/9 
1926,Jack Horner,25/1 
1927,Sprig,8/1 F 
1928,Tipperary Tim,100/1 
1929,Gregalach,100/1 
1930,Shaun Goilin,100/8 
1931,Grakle,100/6 
1932,Forbra,50/1 
1933,Kellsboro' Jack,25/1 
1934,Golden Miller,8/1 
1935,Reynoldstown,22/1 
1936,Reynoldstown,10/1 
1937,Royal Mail,100/6 
1938,Battleship,40/1 
1939,Workman,100/8 
1940,Bogskar,25/1 
1946,Lovely Cottage,25/1 
1947,Caughoo,100/1 
1948,Sheila's Cottage,50/1 
1949,Russian Hero,66/1 
1950,Freebooter,10/1 F 
1951,Nickel Coin,40/1 
1952,Teal,100/7 
1953,Early Mist,20/1 
1954,Royal Tan,8/1 
1955,Quare Times,100/9 
1956,E.S.B.,100/7 
1957,Sundew,20/1 
1958,Mr. What,18/1 
1959,Oxo,8/1 
1960,Merryman II,13/2 F 
1961,Nicolaus Silver,28/1 
1962,Kilmore,28/1 
1963,Ayala,66/1 
1964,Team Spirit,18/1 
1965,Jay Trump,100/6 
1966,Anglo,50/1 
1967,Foinavon,100/1 
1968,Red Alligator,100/7 
1969,Highland Wedding,100/9 
1970,Gay Trip,15/1 
1971,Specify,28/1 
1972,Well to Do,14/1 
1973,Red Rum,9/1 JF 
1974,Red Rum,11/1 
1975,L'Escargot,13/2 
1976,Rag Trade,14/1 
1977,Red Rum,9/1 
1978,Lucius,14/1 
1979,Rubstic,25/1 
1980,Ben Nevis,40/1 
1981,Aldaniti,10/1 
1982,Grittar,7/1 F 
1983,Corbiere,13/1 
1984,Hallo Dandy,13/1 
1985,Last Suspect,50/1 
1986,West Tip,15/2 
1987,Maori Venture,28/1 
1988,Rhyme 'n' Reason,10/1 
1989,Little Polveir,28/1 
1990,Mr Frisk,16/1 
1991,Seagram,12/1 
1992,Party Politics,14/1 
1994,Miinnehoma,16/1 
1995,Royal Athlete,40/1 
1996,Rough Quest,7/1 F 
1997,Lord Gyllene,14/1 
1998,Earth Summit,7/1 F 
1999,Bobbyjo,10/1 
2000,Papillon,10/1 
2001,Red Marauder,33/1 
2002,Bindaree,20/1 
2003,Monty's Pass,16/1 
2004,Amberleigh House,16/1 
2005,Hedgehunter,7/1 F 
2006,Numbersixvalverde,11/1 
2007,Silver Birch,33/1 
2008,Comply or Die,7/1 JF 
2009,Mon Mome,100/1 
2010,Don't Push It,10/1 JF 
2011,Ballabriggs,14/1 
2012,Neptune Collonges,33/1 
2013,Auroras Encore,66/1 
2014,Pineau De Re,25/1 
2015,Many Clouds,25/1 
2016,Rule The World,33/1 
